ds,y
19/01/2021,146842
20/01/2021,149388
21/01/2021,151658
22/01/2021,156683
23/01/2021,158751
24/01/2021,162617
25/01/2021,161636
26/01/2021,163526
27/01/2021,164113
28/01/2021,166540
29/01/2021,170017
30/01/2021,174083
31/01/2021,175095
01/02/2021,175349
02/02/2021,172576
03/02/2021,175236
04/02/2021,174798
05/02/2021,176672
06/02/2021,176433
07/02/2021,176291
08/02/2021,171288
09/02/2021,169351
10/02/2021,168416
11/02/2021,166492
12/02/2021,165086
13/02/2021,161731
14/02/2021,159012
15/02/2021,158498
16/02/2021,160689
17/02/2021,162182
18/02/2021,160494
19/02/2021,160142
20/02/2021,158197
21/02/2021,157088
22/02/2021,157148
23/02/2021,158604
24/02/2021,158162
25/02/2021,157705
26/02/2021,158408
27/02/2021,157039
28/02/2021,155765
01/03/2021,153074
02/03/2021,149645
03/03/2021,147197
04/03/2021,147845
05/03/2021,148356
06/03/2021,147172
07/03/2021,147740
08/03/2021,145628
09/03/2021,144311
10/03/2021,144213
11/03/2021,141070
12/03/2021,140451
13/03/2021,138942
14/03/2021,137912
15/03/2021,136524
16/03/2021,134042
17/03/2021,131695
18/03/2021,131753
19/03/2021,131828
20/03/2021,131616
21/03/2021,129844
22/03/2021,128250
23/03/2021,126439
24/03/2021,123926
25/03/2021,125279
26/03/2021,124497
27/03/2021,124517
28/03/2021,124236
29/03/2021,123694
30/03/2021,122326
31/03/2021,122524
01/04/2021,121222
02/04/2021,121011
03/04/2021,120068
04/04/2021,116709
05/04/2021,114475
06/04/2021,114566
07/04/2021,113570
08/04/2021,111271
09/04/2021,110138
10/04/2021,111137
11/04/2021,109958
12/04/2021,109372
13/04/2021,108599
14/04/2021,108384
15/04/2021,108032
16/04/2021,107297
17/04/2021,106243
18/04/2021,105859
19/04/2021,104319
20/04/2021,102930
21/04/2021,101106
22/04/2021,101191
23/04/2021,100533
24/04/2021,99970
25/04/2021,100474
26/04/2021,100652
27/04/2021,100256
28/04/2021,100502
29/04/2021,100102
30/04/2021,100213
01/05/2021,100250
02/05/2021,100760
03/05/2021,100564
04/05/2021,99087
05/05/2021,98217
06/05/2021,98277
07/05/2021,98546
08/05/2021,99003
09/05/2021,98395
10/05/2021,96742
11/05/2021,95924
12/05/2021,95709
13/05/2021,94857
14/05/2021,93576
15/05/2021,91636
16/05/2021,90800
17/05/2021,89129
18/05/2021,87514
19/05/2021,87829
20/05/2021,88439
21/05/2021,89429
22/05/2021,91240
23/05/2021,92847
24/05/2021,93393
25/05/2021,94486
26/05/2021,96187
27/05/2021,98405
28/05/2021,98704
29/05/2021,99690
30/05/2021,101639
31/05/2021,102006
01/06/2021,101325
02/06/2021,100364
03/06/2021,94438
04/06/2021,94773
05/06/2021,96973
06/06/2021,98455
07/06/2021,99663
08/06/2021,99963
09/06/2021,101635
10/06/2021,104655
11/06/2021,106315
12/06/2021,108324
13/06/2021,113388
14/06/2021,115197
15/06/2021,116787
16/06/2021,120306
17/06/2021,125303
18/06/2021,130096
19/06/2021,135738
20/06/2021,142719
21/06/2021,147728
22/06/2021,152686
23/06/2021,160524
24/06/2021,171542
25/06/2021,181435
26/06/2021,194776
27/06/2021,207685
28/06/2021,218476
29/06/2021,228835
30/06/2021,239368
01/07/2021,253826
02/07/2021,267539
03/07/2021,281677
04/07/2021,295228
05/07/2021,309999
06/07/2021,324597
07/07/2021,343101
08/07/2021,359455
09/07/2021,367733
10/07/2021,373440
11/07/2021,376015
12/07/2021,380797
13/07/2021,407709
14/07/2021,443473
15/07/2021,480199
16/07/2021,504915
17/07/2021,527872
18/07/2021,542236
19/07/2021,542938
20/07/2021,550192
21/07/2021,549694
22/07/2021,561384
23/07/2021,569901
24/07/2021,574135
25/07/2021,573908
26/07/2021,560275
27/07/2021,556281
28/07/2021,558392
29/07/2021,554484
30/07/2021,549343
31/07/2021,545447
01/08/2021,535135
02/08/2021,523164
03/08/2021,524142
04/08/2021,524011
05/08/2021,518310
06/08/2021,507375
07/08/2021,497824
08/08/2021,474233
09/08/2021,448508
10/08/2021,437055
11/08/2021,426170
12/08/2021,412776
13/08/2021,400129
14/08/2021,395577
15/08/2021,384807
16/08/2021,371021
17/08/2021,358357
18/08/2021,343203
19/08/2021,334752
20/08/2021,327286
21/08/2021,319658
22/08/2021,306760
23/08/2021,290764
24/08/2021,273750
25/08/2021,257677
26/08/2021,243588
27/08/2021,236317
28/08/2021,227182
29/08/2021,217590
30/08/2021,203060
31/08/2021,196281
01/09/2021,189571
02/09/2021,176638
03/09/2021,168317
04/09/2021,160699
05/09/2021,155519
06/09/2021,146271
07/09/2021,138630
08/09/2021,132823
09/09/2021,127829
10/09/2021,118534
11/09/2021,115679
12/09/2021,109869
13/09/2021,99696
14/09/2021,92328
15/09/2021,84963
16/09/2021,73238
17/09/2021,68942
18/09/2021,65066
19/09/2021,60969
20/09/2021,55936
21/09/2021,52447
22/09/2021,49662
23/09/2021,47957
24/09/2021,45803
25/09/2021,44071
26/09/2021,42769
27/09/2021,40270
28/09/2021,38652
29/09/2021,37412
30/09/2021,36141
01/10/2021,34867
02/10/2021,33812
03/10/2021,32876
04/10/2021,31054
05/10/2021,29823
06/10/2021,28381
07/10/2021,27747
08/10/2021,25551
09/10/2021,25159
10/10/2021,24430
11/10/2021,22541
12/10/2021,21625
13/10/2021,20551
14/10/2021,19852
15/10/2021,19318
16/10/2021,18746
17/10/2021,18388
18/10/2021,17374
19/10/2021,16697
20/10/2021,16376
21/10/2021,15594
22/10/2021,15090
23/10/2021,14803
24/10/2021,14360
25/10/2021,13554
26/10/2021,12989
27/10/2021,12735
28/10/2021,12440
29/10/2021,12414
30/10/2021,12309
31/10/2021,12318
01/11/2021,11919
02/11/2021,11629
03/11/2021,11592
04/11/2021,11364
05/11/2021,11215
06/11/2021,10979
07/11/2021,10825
08/11/2021,9774
09/11/2021,9602
10/11/2021,9537
11/11/2021,9486
12/11/2021,9305
13/11/2021,9198
14/11/2021,9018
15/11/2021,8522
16/11/2021,8339
17/11/2021,8390
18/11/2021,8315
19/11/2021,8154
20/11/2021,8154
21/11/2021,8126
22/11/2021,7965
23/11/2021,7916
24/11/2021,7977
25/11/2021,8040
26/11/2021,8093
27/11/2021,8226
28/11/2021,8214
29/11/2021,7960
30/11/2021,7922
01/12/2021,7883
02/12/2021,7796
03/12/2021,7705
04/12/2021,7632
05/12/2021,7526
06/12/2021,5642
07/12/2021,5466
08/12/2021,5363
09/12/2021,5278
10/12/2021,5154
11/12/2021,5186
12/12/2021,5158
13/12/2021,5064
14/12/2021,4905
15/12/2021,4864
16/12/2021,4833
17/12/2021,4912
18/12/2021,4918
19/12/2021,4923
